redshift	r_gal	n_gal
0.1	4.530779239227698	1.0590072076867802
0.2	4.225522126192189	1.467870484092621
0.30000000000000004	3.945483223672258	1.985766045412107
0.4	3.6985567025566213	2.623976464266738
0.5	3.471861372628179	3.403347826642266
0.6	3.257329402105675	4.3456921175509216
0.7000000000000001	3.076712755462511	5.443416577797472
0.8	2.9018826858780855	6.740141163397025
0.9	2.740684508432632	8.23546160133521
1.0	2.5855849472782784	9.952741295096043
1.1	2.4447609360526377	11.880415015670835
1.2000000000000002	2.3107665066987835	14.026429403693562
1.3000000000000003	2.1956659789933375	16.351071654236872
1.4000000000000001	2.084292632764965	18.882909221802244
1.5000000000000002	1.976187811609387	21.57166047161109
1.6	1.8912452993139615	24.273939446708535
1.7000000000000002	1.8166297644969314	27.00513040702544
1.8000000000000003	1.7494085637794217	29.730287329108435
1.9000000000000001	1.6891138318157315	32.34464267461412
2.0	1.6399770821676096	34.89201068782431
2.1	1.593434405731623	37.4328062326262
2.2	1.5500517565606566	39.90606188152699
2.3000000000000003	1.5075061378113548	42.32870856645528
2.4000000000000004	1.4655185393431631	44.689211597280845
2.5000000000000004	1.4268303521274186	47.02285353858974
2.6	1.3889670177247861	49.297419331715346
2.7	1.3525816553542944	51.446861045301084
2.8000000000000003	1.316565785991838	53.47423289186177
2.9000000000000004	1.2830797431702918	55.37409456788099
3.0000000000000004	1.2506779117234212	57.12104781808417
3.1	1.2193557510881603	58.69915067844355
3.2	1.1896530966703138	60.09171954802637
3.3000000000000003	1.1599504422524671	61.258872220954885
3.4000000000000004	1.1328225870894673	62.2130655092517
3.5000000000000004	1.105980820732561	62.898253671386584
3.6	1.0797135052384716	63.31755813145874
3.7	1.0557439931956472	63.56114852263691
3.8000000000000003	1.0317744811528233	63.46970007333935
3.9000000000000004	1.0087063433876378	63.08676272632307
4.0	0.9877414122702761	62.49890675374482
4.1	0.9667764811529143	61.51741496204327
4.2	0.9464620296137717	60.24280066920559
4.3	0.9287494963875063	59.0819004075362
4.3999999999999995	0.9110369631612409	57.514639656089784
4.5	0.8933244299349756	55.51287911393729
4.6	0.8782104027158976	53.89095669621673
4.7	0.8637460019986161	52.09025574014614
4.8	0.8492816012813348	49.88679695936971
4.9	0.8353774604771674	47.35596991197783
5.0	0.8265156588910264	45.331456850447296
5.1	0.8176538573048854	42.93510612605174
5.2	0.8087920557187442	40.14556098539832
5.3	0.8021314053107645	37.03974585507523
5.4	0.8152811155062383	34.43810235656581
5.5	0.8284308257017117	31.474973104550642
5.6	0.8415805358971851	28.131637451985686
5.7	0.8547302460926588	24.388972507029884
5.8	0.8573601881317534	24.443407666485435
5.9	0.8573601881317534	25.537729649366053
6.0	0.8573601881317534	26.664235286499164
